state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,Predicted total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
RI,145,408,366-6730,no,yes,43,,,,,,,,,,,,,,,
IA,113,408,395-5285,no,no,0,,,,,,,,,,,,,,,
NE,117,415,354-3436,no,no,0,,,,,,,,,,,,,,,
OH,65,408,336-7600,no,no,0,,,,,,,,,,,,,,,
RI,56,415,383-6293,no,no,0,,,,,,,,,,,,,,,
OK,96,415,362-4596,no,no,0,,,,,,,,,,,,,,,
LA,151,408,401-3926,no,no,0,,,,,,,,,,,,,,,
OH,83,415,370-9116,no,no,0,,,,,,,,,,,,,,,
VA,139,510,328-6289,no,yes,23,,,,,,,,,,,,,,,
MO,6,510,350-9994,no,no,0,,,,,,,,,,,,,,,
FL,115,510,351-4616,no,yes,24,,,,,,,,,,,,,,,
SC,87,415,360-5779,no,no,0,,,,,,,,,,,,,,,
VA,141,415,417-4885,no,no,0,,,,,,,,,,,,,,,
IA,141,510,406-4710,no,yes,36,,,,,,,,,,,,,,,
MI,62,415,409-8743,no,no,0,,,,,,,,,,,,,,,
OK,146,415,335-4584,no,no,0,,,,,,,,,,,,,,,
DE,92,415,361-9845,no,yes,33,,,,,,,,,,,,,,,
GA,185,510,366-5699,no,yes,31,,,,,,,,,,,,,,,
DC,148,415,329-9364,no,no,0,,,,,,,,,,,,,,,
AZ,94,408,390-7434,no,yes,38,,,,,,,,,,,,,,,
AL,32,510,404-9680,no,no,0,,,,,,,,,,,,,,,
CO,68,408,338-9398,no,no,0,,,,,,,,,,,,,,,
NH,64,408,394-2445,no,yes,27,,,,,,,,,,,,,,,
NM,25,415,381-2709,no,no,0,,,,,,,,,,,,,,,
OR,65,415,397-5060,no,no,0,,,,,,,,,,,,,,,
LA,179,408,415-2393,no,no,0,,,,,,,,,,,,,,,
NE,94,415,377-1765,no,no,0,,,,,,,,,,,,,,,
MN,62,415,409-2111,no,no,0,,,,,,,,,,,,,,,
MI,127,415,401-3170,no,no,0,,,,,,,,,,,,,,,
AR,116,408,405-5681,no,no,0,,,,,,,,,,,,,,,
KS,70,408,411-4582,no,no,0,,,,,,,,,,,,,,,
WV,94,510,355-5009,yes,yes,23,,,,,,,,,,,,,,,
AK,126,415,372-3750,no,no,0,,,,,,,,,,,,,,,
NY,67,408,405-2888,no,yes,36,,,,,,,,,,,,,,,
NH,19,408,361-3337,no,no,0,,,,,,,,,,,,,,,
VA,170,510,350-1639,yes,no,0,,,,,,,,,,,,,,,
NM,73,415,333-3221,no,no,0,,,,,,,,,,,,,,,
NY,106,408,422-1471,no,no,0,,,,,,,,,,,,,,,
AZ,93,415,399-7865,no,no,0,,,,,,,,,,,,,,,
WY,164,510,373-4819,no,no,0,,,,,,,,,,,,,,,
WA,51,408,338-6981,no,no,0,,,,,,,,,,,,,,,
CO,107,415,418-4365,no,no,0,,,,,,,,,,,,,,,
TX,130,415,359-5461,no,no,0,,,,,,,,,,,,,,,
KY,80,408,375-3586,no,no,0,,,,,,,,,,,,,,,
MT,94,415,407-8376,no,no,0,,,,,,,,,,,,,,,
OK,118,408,408-6496,no,yes,23,,,,,,,,,,,,,,,
MD,117,415,385-7688,no,yes,23,,,,,,,,,,,,,,,
TN,78,415,332-6934,no,no,0,,,,,,,,,,,,,,,
TX,208,510,378-3625,no,no,0,,,,,,,,,,,,,,,
ME,131,510,353-7292,yes,yes,26,,,,,,,,,,,,,,,
DC,63,408,399-6786,no,no,0,,,,,,,,,,,,,,,
MN,53,415,358-3261,no,yes,24,,,,,,,,,,,,,,,
DE,62,408,377-9932,no,no,0,,,,,,,,,,,,,,,
MD,97,415,397-4030,no,no,0,,,,,,,,,,,,,,,
MI,105,510,367-1062,no,no,0,,,,,,,,,,,,,,,
WA,157,415,341-8467,no,no,0,,,,,,,,,,,,,,,
MO,66,415,339-9453,no,yes,36,,,,,,,,,,,,,,,
IN,122,415,344-3388,no,no,0,,,,,,,,,,,,,,,
OR,38,415,375-8013,no,no,0,,,,,,,,,,,,,,,
MD,106,510,408-4142,no,no,0,,,,,,,,,,,,,,,
RI,99,510,386-3671,no,no,0,,,,,,,,,,,,,,,
LA,99,415,411-2284,no,no,0,,,,,,,,,,,,,,,
AZ,144,510,346-7795,yes,no,0,,,,,,,,,,,,,,,
PA,82,415,333-5609,no,yes,24,,,,,,,,,,,,,,,
AZ,86,408,405-1842,no,yes,31,,,,,,,,,,,,,,,
FL,70,510,366-6345,yes,no,0,,,,,,,,,,,,,,,
LA,93,415,337-9345,no,no,0,,,,,,,,,,,,,,,
FL,93,415,328-6770,no,no,0,,,,,,,,,,,,,,,
FL,120,415,380-7321,no,no,0,,,,,,,,,,,,,,,
MD,136,415,375-1476,no,no,0,,,,,,,,,,,,,,,
AL,106,415,356-1567,no,no,0,,,,,,,,,,,,,,,
WA,81,415,422-6685,no,no,0,,,,,,,,,,,,,,,
TN,127,408,336-1090,no,yes,22,,,,,,,,,,,,,,,
MS,65,415,343-2095,no,no,0,,,,,,,,,,,,,,,
ME,35,408,345-3934,no,no,0,,,,,,,,,,,,,,,
OK,88,408,338-8050,no,no,0,,,,,,,,,,,,,,,
IN,65,415,388-9568,no,no,0,,,,,,,,,,,,,,,
MO,123,415,402-6591,no,no,0,,,,,,,,,,,,,,,
IA,126,408,403-6419,no,yes,27,,,,,,,,,,,,,,,
VA,104,415,386-9790,no,yes,23,,,,,,,,,,,,,,,
KY,45,415,378-5692,no,yes,22,,,,,,,,,,,,,,,
MD,93,408,360-3324,yes,no,0,,,,,,,,,,,,,,,
OH,63,415,410-3719,yes,yes,36,,,,,,,,,,,,,,,
OK,100,415,352-4221,no,no,0,,,,,,,,,,,,,,,
NV,53,415,327-6179,no,no,0,,,,,,,,,,,,,,,
ID,92,415,359-6196,yes,no,0,,,,,,,,,,,,,,,
MN,139,510,374-9107,no,no,0,,,,,,,,,,,,,,,
SD,110,408,357-4078,no,yes,40,,,,,,,,,,,,,,,
IL,110,408,366-5780,no,no,0,,,,,,,,,,,,,,,
WY,215,510,393-9619,no,no,0,,,,,,,,,,,,,,,
AL,73,415,355-9295,no,no,0,,,,,,,,,,,,,,,
NJ,138,510,400-5751,no,no,0,,,,,,,,,,,,,,,
NV,137,415,338-1027,yes,no,0,,,,,,,,,,,,,,,
IN,36,415,405-8867,no,no,0,,,,,,,,,,,,,,,
WV,85,408,336-5616,no,no,0,,,,,,,,,,,,,,,
VA,108,408,335-1697,no,no,0,,,,,,,,,,,,,,,
SC,22,408,331-5138,no,no,0,,,,,,,,,,,,,,,
RI,107,415,385-8240,no,yes,37,,,,,,,,,,,,,,,
IN,51,510,348-1359,no,no,0,,,,,,,,,,,,,,,
AZ,94,408,354-7339,no,no,0,,,,,,,,,,,,,,,
NM,119,510,349-1687,no,yes,23,,,,,,,,,,,,,,,
OR,33,415,380-2558,no,yes,29,,,,,,,,,,,,,,,
NJ,106,415,365-2153,no,no,0,,,,,,,,,,,,,,,
MS,82,408,345-6043,no,no,0,,,,,,,,,,,,,,,
MI,86,510,349-2808,no,yes,41,,,,,,,,,,,,,,,
TX,97,415,411-1715,yes,no,0,,,,,,,,,,,,,,,
FL,106,408,385-2488,no,yes,32,,,,,,,,,,,,,,,
DC,108,510,377-7177,no,no,0,,,,,,,,,,,,,,,
TX,114,415,342-1099,no,no,0,,,,,,,,,,,,,,,
KS,92,408,386-4170,yes,no,0,,,,,,,,,,,,,,,
UT,59,510,413-1269,no,no,0,,,,,,,,,,,,,,,
MN,24,510,396-4460,no,yes,25,,,,,,,,,,,,,,,
IL,151,408,334-2730,no,no,0,,,,,,,,,,,,,,,
NM,117,415,340-3182,no,no,0,,,,,,,,,,,,,,,
SC,78,510,377-8608,no,no,0,,,,,,,,,,,,,,,
NC,155,408,417-3676,no,no,0,,,,,,,,,,,,,,,
WV,114,510,417-6774,no,yes,30,,,,,,,,,,,,,,,
RI,114,510,411-9554,no,yes,28,,,,,,,,,,,,,,,
NH,119,408,420-3192,no,no,0,,,,,,,,,,,,,,,
MO,64,510,389-1475,no,yes,48,,,,,,,,,,,,,,,
MA,118,408,343-7734,yes,no,0,,,,,,,,,,,,,,,
PA,101,415,410-3390,no,no,0,,,,,,,,,,,,,,,
OK,117,415,344-6495,no,no,0,,,,,,,,,,,,,,,
AL,49,415,331-6229,no,yes,28,,,,,,,,,,,,,,,
WY,139,415,337-7501,no,no,0,,,,,,,,,,,,,,,
PA,92,408,339-9631,no,yes,28,,,,,,,,,,,,,,,
WA,83,415,369-4384,no,no,0,,,,,,,,,,,,,,,
HI,148,510,416-3915,yes,no,0,,,,,,,,,,,,,,,
SD,144,408,339-3049,no,yes,48,,,,,,,,,,,,,,,
AL,131,415,361-7998,no,yes,25,,,,,,,,,,,,,,,
VT,146,510,355-4842,yes,no,0,,,,,,,,,,,,,,,
MT,143,415,387-6440,no,no,0,,,,,,,,,,,,,,,
MN,81,415,369-2625,no,no,0,,,,,,,,,,,,,,,
AK,48,415,389-7073,no,yes,37,,,,,,,,,,,,,,,
MI,86,415,370-8463,no,yes,28,,,,,,,,,,,,,,,
DE,71,415,362-7318,no,no,0,,,,,,,,,,,,,,,
SD,145,408,412-1194,no,yes,24,,,,,,,,,,,,,,,
MI,137,510,355-9508,no,no,0,,,,,,,,,,,,,,,
KS,137,408,352-8202,no,no,0,,,,,,,,,,,,,,,
AL,167,510,335-5882,no,no,0,,,,,,,,,,,,,,,
OK,89,510,352-6976,no,no,0,,,,,,,,,,,,,,,
CT,199,415,393-6733,no,yes,34,,,,,,,,,,,,,,,
NE,132,510,335-1838,no,no,0,,,,,,,,,,,,,,,
WI,94,510,355-6930,no,no,0,,,,,,,,,,,,,,,
CT,96,415,387-5860,no,yes,37,,,,,,,,,,,,,,,
WI,96,510,343-2605,no,yes,18,,,,,,,,,,,,,,,
IN,166,510,350-6759,no,no,0,,,,,,,,,,,,,,,
DC,74,415,371-1514,no,no,0,,,,,,,,,,,,,,,
AR,36,415,346-9317,no,no,0,,,,,,,,,,,,,,,
ME,113,415,398-4313,no,no,0,,,,,,,,,,,,,,,
MN,94,415,412-4399,no,no,0,,,,,,,,,,,,,,,
MD,67,415,330-1835,no,no,0,,,,,,,,,,,,,,,
FL,127,415,416-1676,no,no,0,,,,,,,,,,,,,,,
RI,121,408,329-7347,no,no,0,,,,,,,,,,,,,,,
IA,158,415,360-6868,no,no,0,,,,,,,,,,,,,,,
AZ,136,510,405-6641,no,no,0,,,,,,,,,,,,,,,
MO,196,415,393-2373,no,no,0,,,,,,,,,,,,,,,
VT,113,415,419-1714,no,no,0,,,,,,,,,,,,,,,
IN,122,408,336-3819,no,no,0,,,,,,,,,,,,,,,
RI,112,510,341-3464,no,no,0,,,,,,,,,,,,,,,
SD,209,415,413-5310,no,no,0,,,,,,,,,,,,,,,
MN,62,415,366-7912,no,no,0,,,,,,,,,,,,,,,
TX,110,415,399-8845,no,yes,38,,,,,,,,,,,,,,,
VA,16,510,368-2583,no,no,0,,,,,,,,,,,,,,,
MA,73,408,360-6309,no,no,0,,,,,,,,,,,,,,,
ID,128,408,359-5890,no,no,0,,,,,,,,,,,,,,,
MA,39,408,332-2462,no,no,0,,,,,,,,,,,,,,,
GA,103,415,381-9196,no,yes,28,,,,,,,,,,,,,,,
RI,119,415,329-3222,no,yes,29,,,,,,,,,,,,,,,
ID,173,510,363-5819,no,yes,21,,,,,,,,,,,,,,,
SD,128,510,413-9269,yes,yes,32,,,,,,,,,,,,,,,
MA,86,510,330-7483,no,no,0,,,,,,,,,,,,,,,
WY,114,415,403-7775,no,yes,32,,,,,,,,,,,,,,,
VA,104,408,360-2479,no,no,0,,,,,,,,,,,,,,,
OR,148,415,394-3791,no,no,0,,,,,,,,,,,,,,,
VA,129,408,384-2632,no,no,0,,,,,,,,,,,,,,,
ME,100,510,359-8466,no,yes,30,,,,,,,,,,,,,,,
AL,121,408,331-8909,no,yes,35,,,,,,,,,,,,,,,
GA,143,408,359-5160,no,yes,33,,,,,,,,,,,,,,,
IA,76,510,330-9833,no,no,0,,,,,,,,,,,,,,,
AZ,158,510,362-2314,no,no,0,,,,,,,,,,,,,,,
FL,116,510,338-8478,no,no,0,,,,,,,,,,,,,,,
MT,54,415,387-5453,no,no,0,,,,,,,,,,,,,,,
AL,86,415,380-3437,no,no,0,,,,,,,,,,,,,,,
DE,108,510,365-8779,no,no,0,,,,,,,,,,,,,,,
MT,66,510,407-2750,no,no,0,,,,,,,,,,,,,,,
KY,151,408,396-8265,no,yes,17,,,,,,,,,,,,,,,
SC,99,510,397-4304,no,no,0,,,,,,,,,,,,,,,
WA,55,415,333-2611,no,no,0,,,,,,,,,,,,,,,
OR,77,510,409-8814,no,no,0,,,,,,,,,,,,,,,
AK,78,408,336-5406,no,no,0,,,,,,,,,,,,,,,
GA,89,415,343-6940,no,no,0,,,,,,,,,,,,,,,
MN,101,415,361-9923,no,no,0,,,,,,,,,,,,,,,
IL,44,415,350-6639,no,yes,34,,,,,,,,,,,,,,,
IN,98,408,376-4300,no,yes,21,,,,,,,,,,,,,,,
SC,64,510,349-6567,no,yes,37,,,,,,,,,,,,,,,
VA,141,415,333-7749,no,no,0,,,,,,,,,,,,,,,
WI,81,415,408-6089,no,yes,33,,,,,,,,,,,,,,,
VT,162,510,375-2165,no,no,0,,,,,,,,,,,,,,,
AZ,83,415,400-6999,no,yes,41,,,,,,,,,,,,,,,
FL,100,510,420-7823,no,no,0,,,,,,,,,,,,,,,
AK,59,510,366-5241,no,no,0,,,,,,,,,,,,,,,
AR,179,415,413-3412,yes,yes,38,,,,,,,,,,,,,,,
AR,79,408,406-2752,no,no,0,,,,,,,,,,,,,,,
AK,117,415,337-8078,no,no,0,,,,,,,,,,,,,,,
MS,64,408,402-1942,yes,no,0,,,,,,,,,,,,,,,
ME,31,415,371-7917,no,no,0,,,,,,,,,,,,,,,
CA,124,408,343-6374,yes,no,0,,,,,,,,,,,,,,,
NM,122,408,385-8730,no,yes,23,,,,,,,,,,,,,,,
NE,37,408,393-7892,yes,yes,39,,,,,,,,,,,,,,,
SC,90,408,407-6748,no,yes,29,,,,,,,,,,,,,,,
CO,159,408,341-4463,yes,no,0,,,,,,,,,,,,,,,
DE,148,415,351-2587,no,no,0,,,,,,,,,,,,,,,
OH,39,415,421-9752,no,yes,36,,,,,,,,,,,,,,,
MS,77,408,356-4001,no,no,0,,,,,,,,,,,,,,,
OK,194,408,328-9869,no,no,0,,,,,,,,,,,,,,,
CO,154,415,343-5709,no,no,0,,,,,,,,,,,,,,,
NC,112,415,334-1872,no,no,0,,,,,,,,,,,,,,,
MD,45,415,350-1040,no,no,0,,,,,,,,,,,,,,,
KS,132,415,369-3214,no,no,0,,,,,,,,,,,,,,,
MA,128,415,385-6778,no,no,0,,,,,,,,,,,,,,,
NC,135,415,383-7689,no,no,0,,,,,,,,,,,,,,,
NM,56,408,385-5722,no,no,0,,,,,,,,,,,,,,,
CA,151,415,357-1909,yes,no,0,,,,,,,,,,,,,,,
NY,32,415,364-3567,no,no,0,,,,,,,,,,,,,,,
AZ,90,415,422-4241,no,no,0,,,,,,,,,,,,,,,
SD,87,415,370-2957,no,yes,21,,,,,,,,,,,,,,,
DC,138,415,329-6562,no,no,0,,,,,,,,,,,,,,,
ND,79,408,363-3515,no,no,0,,,,,,,,,,,,,,,
MO,95,415,374-7787,yes,no,0,,,,,,,,,,,,,,,
KS,127,415,345-2931,no,no,0,,,,,,,,,,,,,,,
SD,137,510,373-5732,no,no,0,,,,,,,,,,,,,,,
OK,97,415,348-7437,no,no,0,,,,,,,,,,,,,,,
OR,149,415,332-9460,yes,no,0,,,,,,,,,,,,,,,
IN,117,415,355-6531,yes,yes,22,,,,,,,,,,,,,,,
OH,84,408,336-9390,no,no,0,,,,,,,,,,,,,,,
KS,137,415,346-8581,no,no,0,,,,,,,,,,,,,,,
CT,99,415,363-8824,no,no,0,,,,,,,,,,,,,,,
NH,54,510,353-3351,no,no,0,,,,,,,,,,,,,,,
WI,85,415,360-4320,no,no,0,,,,,,,,,,,,,,,
MS,150,510,417-6252,no,no,0,,,,,,,,,,,,,,,
WV,43,415,393-4949,no,no,0,,,,,,,,,,,,,,,
MA,35,415,401-3156,no,no,0,,,,,,,,,,,,,,,
MD,98,415,338-6283,no,no,0,,,,,,,,,,,,,,,
PA,112,510,352-9017,no,no,0,,,,,,,,,,,,,,,
WI,16,510,405-5305,no,no,0,,,,,,,,,,,,,,,
TN,98,415,376-9249,no,yes,22,,,,,,,,,,,,,,,
TX,84,408,339-7139,no,no,0,,,,,,,,,,,,,,,
OR,94,415,328-6011,no,no,0,,,,,,,,,,,,,,,
IL,84,510,378-1303,no,no,0,,,,,,,,,,,,,,,
DC,66,415,402-5155,no,no,0,,,,,,,,,,,,,,,
GA,98,415,333-5430,no,yes,31,,,,,,,,,,,,,,,
ID,74,415,365-9696,no,no,0,,,,,,,,,,,,,,,
UT,96,408,410-4023,no,yes,26,,,,,,,,,,,,,,,
KY,119,510,411-7649,no,no,0,,,,,,,,,,,,,,,
OH,73,415,338-4065,no,no,0,,,,,,,,,,,,,,,
WI,92,415,421-9401,yes,no,0,,,,,,,,,,,,,,,
IL,21,415,343-9658,no,no,0,,,,,,,,,,,,,,,
DE,122,510,332-5521,no,no,0,,,,,,,,,,,,,,,
RI,133,510,349-4369,yes,no,0,,,,,,,,,,,,,,,
TX,145,415,351-4288,no,no,0,,,,,,,,,,,,,,,
OR,25,408,422-5874,no,no,0,,,,,,,,,,,,,,,
