state,account length,area code,phone number,international plan,voice mail plan,number vmail messages,total day minutes,total day calls,Predicted total day calls,total day charge,total eve minutes,total eve calls,total eve charge,total night minutes,total night calls,total night charge,total intl minutes,total intl calls,total intl charge,customer service calls,churn
CO,76,408,412-4185,no,yes,26,214.6,110,110,36.48,205.2,87,17.44,134.6,140,6.06,8.1,2,2.19,1,FALSE
KS,167,415,409-4734,no,no,0,131.6,120,120,22.37,211.3,96,17.96,168.3,97,7.57,11.1,4,3,4,TRUE
NJ,129,415,348-9828,no,no,0,168.4,117,117,28.63,217.1,129,18.45,81.6,100,3.67,11.8,7,3.19,1,FALSE
FL,116,408,418-8850,no,no,0,146.4,123,123,24.89,176.6,113,15.01,212.6,102,9.57,7.8,5,2.11,1,FALSE
CA,60,415,330-8351,yes,no,0,183,110,110,31.11,206.7,93,17.57,203.8,119,9.17,11.1,6,3,1,FALSE
KS,128,415,347-7773,no,no,0,103.3,122,122,17.56,245.9,123,20.9,161.1,95,7.25,6.4,7,1.73,0,FALSE
TX,47,408,392-6841,no,yes,28,112.2,70,70,19.07,154.8,106,13.16,166.7,105,7.5,10.6,2,2.86,0,FALSE
MN,40,510,354-2189,yes,no,0,170.7,55,55,29.02,179.1,108,15.22,281.9,89,12.69,8.2,9,2.21,3,FALSE
AK,173,510,349-9060,no,no,0,172.5,78,78,29.33,142.6,91,12.12,102,63,4.59,10.9,2,2.94,0,FALSE
OR,157,510,334-1311,no,yes,30,194.3,107,107,33.03,243.2,108,20.67,322.2,114,14.5,7.1,5,1.92,1,FALSE
MS,66,408,415-3120,no,yes,32,187.8,117,117,31.93,129.8,90,11.03,132.3,113,5.95,12,3,3.24,2,FALSE
VT,50,415,387-5891,yes,yes,26,307.1,94,94,52.21,289.4,78,24.6,174.9,109,7.87,8,3,2.16,0,FALSE
UT,72,415,368-8026,no,no,0,118.2,106,106,20.09,167.2,136,14.21,214.2,106,9.64,12.2,3,3.29,3,FALSE
KS,130,510,332-9446,no,no,0,154,95,95,26.18,205.9,106,17.5,233.7,75,10.52,12.9,1,3.48,1,FALSE
NV,143,408,393-5284,no,no,0,155.5,101,101,26.44,213.4,89,18.14,237.9,61,10.71,7.6,11,2.05,1,FALSE
DE,89,510,376-1677,yes,no,0,125.6,108,108,21.35,213,90,18.11,181.7,108,8.18,5.4,5,1.46,1,FALSE
IN,108,415,392-2268,no,no,0,199.3,104,104,33.88,224.2,92,19.06,140.1,57,6.3,15.2,2,4.1,0,FALSE
TX,32,408,396-4311,no,no,0,157.9,88,88,26.84,180.8,132,15.37,132.5,102,5.96,12.8,3,3.46,1,FALSE
MA,166,415,363-4005,no,no,0,203.4,81,81,34.58,167.7,110,14.25,132,124,5.94,9.2,5,2.48,2,FALSE
VT,109,408,344-9966,no,no,0,222.2,113,113,37.77,218.5,122,18.57,266,88,11.97,10.9,5,2.94,1,FALSE
CA,72,408,337-7377,no,yes,39,92.8,98,98,15.78,271.2,115,23.05,167.1,83,7.52,5.8,7,1.57,1,FALSE
IA,134,415,373-7037,no,yes,32,216.8,78,78,36.86,102.2,111,8.69,174,83,7.83,8.6,2,2.32,0,FALSE
NH,13,415,356-7580,no,no,0,193.2,89,89,32.84,194.4,90,16.52,186.5,104,8.39,9.7,2,2.62,4,FALSE
GA,90,415,390-3401,no,no,0,113.2,108,108,19.24,189.3,63,16.09,271.8,124,12.23,14.1,4,3.81,3,FALSE
WI,111,415,350-9313,no,yes,36,166.2,54,54,28.25,238.8,109,20.3,108.8,92,4.9,11.2,2,3.02,3,FALSE
CO,101,408,420-9009,no,yes,23,262.2,101,101,44.57,157,80,13.35,129.1,100,5.81,7.3,14,1.97,1,FALSE
SC,72,415,415-2641,no,no,0,207.8,92,92,35.33,195.7,110,16.63,184.8,124,8.32,13.1,4,3.54,0,FALSE
MI,67,510,392-4929,no,yes,35,245.4,89,89,41.72,148.2,102,12.6,274,136,12.33,7.5,6,2.03,1,FALSE
MD,172,408,346-5068,no,no,0,287.1,108,108,48.81,178.4,125,15.16,153.2,98,6.89,14.4,2,3.89,3,TRUE
IN,154,510,389-2631,no,yes,32,192.3,82,82,32.69,165.3,134,14.05,205,74,9.23,9,1,2.43,2,FALSE
ME,69,510,368-3808,no,no,0,194.2,122,122,33.01,242.1,81,20.58,215.8,80,9.71,9.7,3,2.62,2,FALSE
DC,123,415,406-8599,no,no,0,211,92,92,35.87,217,102,18.45,214.8,104,9.67,9.8,7,2.65,3,FALSE
TN,130,415,386-7456,no,yes,12,141.9,92,94,24.12,228.9,102,19.46,195.1,101,8.78,8.7,5,2.35,0,FALSE
FL,142,415,357-4936,no,yes,26,220.5,94,94,37.49,239.5,126,20.36,254.3,109,11.44,5.9,9,1.59,2,FALSE
WA,29,415,397-7411,no,no,0,157.4,122,122,26.76,145,75,12.33,281.8,92,12.68,9.3,2,2.51,1,FALSE
HI,87,408,353-6218,no,yes,28,143.5,106,106,24.4,223.5,147,19,175.4,69,7.89,11.2,5,3.02,0,FALSE
NE,149,415,369-5942,no,no,0,156,56,56,26.52,56,116,4.76,163.3,104,7.35,8.9,8,2.4,0,FALSE
TN,146,408,416-8543,yes,no,0,160.1,63,63,27.22,208.4,112,17.71,177.6,98,7.99,9.2,3,2.48,2,FALSE
MD,88,415,358-4576,yes,no,0,235.1,98,98,39.97,251.8,79,21.4,285.9,76,12.87,7.2,2,1.94,4,TRUE
NM,119,415,352-5118,yes,yes,15,160,95,95,27.2,209.5,110,17.81,82.3,107,3.7,8.7,5,2.35,5,TRUE
VT,48,510,408-2621,no,no,0,188.4,63,63,32.03,165.9,89,14.1,205.7,71,9.26,13.2,2,3.56,1,FALSE
OR,135,415,353-3994,no,no,0,194.8,97,97,33.12,235.3,118,20,174.4,126,7.85,11,3,2.97,1,FALSE
IN,100,510,367-4277,no,no,0,247.8,117,117,42.13,130,95,11.05,134.3,125,6.04,6.9,2,1.86,1,FALSE
MO,98,415,354-3237,no,no,0,221.2,80,80,37.6,213.6,104,18.16,291.8,89,13.13,11.9,3,3.21,4,FALSE
FL,75,510,394-8504,no,yes,26,118.5,86,86,20.15,213.9,118,18.18,132.6,99,5.97,13.4,3,3.62,2,FALSE
DC,180,415,370-4139,no,yes,33,231.8,78,78,39.41,232.9,79,19.8,206.9,121,9.31,7.6,4,2.05,1,FALSE
VT,100,415,382-6135,no,yes,25,215.9,90,90,36.7,257.9,92,21.92,180.2,157,8.11,11.6,4,3.13,1,FALSE
OH,119,415,359-5718,no,yes,35,217.1,92,92,36.91,220.8,134,18.77,249.5,93,11.23,8,5,2.16,2,FALSE
MO,86,415,385-3111,no,no,0,83.5,96,96,14.2,221.1,63,18.79,349.7,75,15.74,12.6,3,3.4,0,FALSE
LA,155,408,353-4880,no,yes,39,183.3,106,106,31.16,205.1,101,17.43,263.7,90,11.87,5.1,7,1.38,1,FALSE
IL,78,415,343-7019,yes,no,0,236.8,141,40,40.26,265.3,101,22.55,152.4,77,6.86,9.5,2,2.57,1,TRUE
NJ,153,415,419-6133,no,no,0,193.8,90,90,32.95,195.3,121,16.6,182.7,108,8.22,8.5,3,2.3,1,FALSE
IA,92,510,350-7344,no,yes,25,134,112,112,22.78,206,111,17.51,180.6,118,8.13,9.7,4,2.62,0,FALSE
WA,13,510,397-6064,no,yes,25,176.6,65,65,30.02,172.7,96,14.68,104.5,128,4.7,11.3,5,3.05,2,FALSE
NE,154,415,363-6896,no,no,0,191.4,93,93,32.54,205.4,119,17.46,205.7,121,9.26,10.2,3,2.75,3,FALSE
CT,144,510,416-9021,yes,yes,35,174.8,127,127,29.72,219.6,93,18.67,255.8,90,11.51,12.8,3,3.46,0,FALSE
WV,48,408,408-3269,no,no,0,275.2,67,67,46.78,180.2,108,15.32,159,110,7.15,7.9,2,2.13,1,FALSE
ND,94,408,408-9463,no,no,0,174,85,85,29.58,241.1,114,20.49,207.8,94,9.35,7.9,1,2.13,1,FALSE
UT,139,415,340-7062,no,no,0,165,132,132,28.05,249.7,86,21.22,170.3,128,7.66,12.6,8,3.4,1,FALSE
MS,126,415,417-4309,no,no,0,228.7,102,102,38.88,168.7,99,14.34,223.5,100,10.06,11.8,4,3.19,1,FALSE
MN,122,415,421-2659,no,no,0,107.9,88,88,18.34,235.8,109,20.04,228.6,119,10.29,9.5,3,2.57,2,FALSE
NH,139,510,383-2017,no,no,0,221.3,140,140,37.62,157.8,89,13.41,192.5,89,8.66,11.3,6,3.05,1,FALSE
LA,95,415,411-6294,no,no,0,141.1,84,84,23.99,211.4,108,17.97,103.7,127,4.67,5.9,6,1.59,3,FALSE
ME,80,408,332-9525,no,yes,31,166.4,92,92,28.29,238.3,74,20.26,150.7,84,6.78,10.7,4,2.89,4,FALSE
KS,131,415,401-5012,no,yes,28,249.6,87,87,42.43,227.2,138,19.31,239.9,92,10.8,7.6,3,2.05,3,FALSE
KS,36,510,368-8835,no,no,0,178.6,83,83,30.36,213.1,103,18.11,198,119,8.91,10.9,5,2.94,1,FALSE
NV,180,510,351-1382,no,no,0,139,96,96,23.63,224.9,64,19.12,170.8,118,7.69,15.7,5,4.24,2,FALSE
MT,25,415,359-7694,no,no,0,134.3,98,98,22.83,202.3,109,17.2,195.9,100,8.82,12.6,5,3.4,2,FALSE
MT,113,415,419-5505,no,no,0,215.9,93,93,36.7,240.1,85,20.41,156.7,123,7.05,4.9,5,1.32,3,FALSE
ID,88,415,341-4570,no,yes,31,181.6,91,91,30.87,213.2,120,18.12,207.8,104,9.35,11.4,4,3.08,1,FALSE
AK,120,415,366-6991,no,no,0,178.4,97,97,30.33,168.3,113,14.31,120.5,93,5.42,9.3,9,2.51,1,FALSE
UT,74,415,377-7399,no,no,0,106.4,84,84,18.09,140.2,104,11.92,90.9,81,4.09,11.4,3,3.08,1,FALSE
AR,109,510,377-9092,no,no,0,170.7,101,101,29.02,240.2,82,20.42,119,112,5.36,11.4,4,3.08,2,FALSE
LA,162,510,373-6681,no,yes,33,184.5,139,139,31.37,183.2,78,15.57,127.4,106,5.73,12.3,6,3.32,0,FALSE
KS,124,510,417-7736,no,yes,37,161.2,109,109,27.4,204.2,79,17.36,231.5,87,10.42,8.9,4,2.4,1,FALSE
OR,177,408,393-2812,no,no,0,84.9,77,77,14.43,257.5,109,21.89,210.5,66,9.47,7.5,5,2.03,2,FALSE
WI,91,510,398-3176,no,no,0,217.9,71,71,37.04,230.1,116,19.56,232.1,110,10.44,10.6,2,2.86,1,FALSE
CO,105,408,334-8694,no,no,0,270.9,98,98,46.05,226.2,110,19.23,178.8,60,8.05,8.8,5,2.38,0,TRUE
KS,24,510,369-5449,no,no,0,243,91,91,41.31,183.9,77,15.63,184.3,109,8.29,15.3,6,4.13,0,TRUE
IL,48,510,380-5246,no,no,0,128.2,71,71,21.79,48.1,78,4.09,116.3,80,5.23,8.9,3,2.4,0,FALSE
IA,86,408,390-3873,no,no,0,126.3,115,115,21.47,168.8,112,14.35,154.6,95,6.96,9.8,7,2.65,2,FALSE
AZ,163,510,354-4568,no,no,0,178.7,56,56,30.38,215.7,79,18.33,152.7,84,6.87,10.6,2,2.86,4,FALSE
NE,91,510,339-6968,no,no,0,159,109,109,27.03,255.1,142,21.68,82.4,73,3.71,10.1,4,2.73,0,FALSE
ID,56,510,379-5933,no,no,0,150.9,79,79,25.65,161.8,87,13.75,167.7,115,7.55,11.7,5,3.16,3,FALSE
OH,147,415,365-5682,yes,yes,24,219.9,118,118,37.38,208.5,116,17.72,352.5,111,15.86,8.1,4,2.19,3,FALSE
TX,64,415,382-8518,no,no,0,168,116,116,28.56,192.4,94,16.35,166.5,98,7.49,10.1,3,2.73,2,FALSE
TN,108,510,356-8449,no,yes,34,162.1,83,83,27.56,171.8,117,14.6,259.8,76,11.69,9.6,3,2.59,4,TRUE
OK,159,510,333-3460,no,no,0,198.8,107,107,33.8,195.5,91,16.62,213.3,120,9.6,16.5,7,4.46,5,FALSE
ND,136,510,375-8596,yes,no,0,256.8,90,93,43.66,230.1,104,19.56,143.6,82,6.46,9.1,10,2.46,3,FALSE
MT,116,415,384-5907,no,yes,35,182.8,122,122,31.08,212.7,119,18.08,193.8,103,8.72,11,2,2.97,1,FALSE
NC,45,408,373-2903,no,yes,38,196.8,92,92,33.46,254.2,108,21.61,261.8,85,11.78,7.7,2,2.08,1,FALSE
MN,122,415,361-7702,no,no,0,140.1,120,120,23.82,231.4,128,19.67,188.1,127,8.46,11.2,5,3.02,2,FALSE
MN,138,415,388-5850,no,no,0,194.3,83,83,33.03,189.9,97,16.14,232.2,102,10.45,9,3,2.43,5,FALSE
MA,132,415,405-6298,no,no,0,117.6,66,66,19.99,214,108,18.19,239.5,94,10.78,8.8,5,2.38,1,FALSE
PA,101,415,368-2074,yes,no,0,193.7,108,108,32.93,186.6,98,15.86,223,100,10.04,11.6,8,3.13,0,FALSE
GA,58,510,328-5050,no,no,0,243.1,105,105,41.33,231.4,108,19.67,180.9,120,8.14,7.8,4,2.11,2,FALSE
NV,81,415,395-5783,no,no,0,145.4,132,132,24.72,129.3,91,10.99,186.4,109,8.39,5.2,4,1.4,1,FALSE
TX,87,415,420-7301,no,no,0,169.1,105,105,28.75,169.9,102,14.44,244.9,106,11.02,9.9,10,2.67,3,FALSE
ME,116,510,328-2478,no,no,0,229.3,93,93,38.98,184.5,111,15.68,168.2,91,7.57,8.8,3,2.38,2,FALSE
RI,85,415,381-2460,yes,no,0,197.2,97,97,33.52,211.7,115,17.99,210.1,133,9.45,8.3,4,2.24,4,FALSE
MN,62,510,390-9811,no,yes,33,186.4,84,84,31.69,201,136,17.09,286.7,103,12.9,11.1,3,3,2,TRUE
NH,90,415,373-5670,no,no,0,76.1,121,121,12.94,290.3,73,24.68,236.9,89,10.66,10.8,3,2.92,0,FALSE
TN,98,415,351-7016,no,no,0,162.8,65,66,27.68,185,109,15.73,219.5,104,9.88,6,3,1.62,2,FALSE
UT,73,415,394-9934,no,no,0,182.3,115,115,30.99,199.2,97,16.93,120.2,113,5.41,18,5,4.86,1,FALSE
RI,107,510,422-8268,yes,no,0,194.4,83,83,33.05,247.8,84,21.06,245.4,93,11.04,11.2,7,3.02,2,FALSE
NH,55,408,373-7690,no,yes,20,189.3,95,95,32.18,118.6,113,10.08,250.2,102,11.26,12.5,4,3.38,2,FALSE
AK,76,415,366-9781,no,yes,22,160.1,107,107,27.22,168.7,136,14.34,23.2,102,1.04,9.5,4,2.57,3,FALSE
NC,30,510,404-5427,no,no,0,145,76,76,24.65,240.7,112,20.46,197.1,134,8.87,7.1,4,1.92,3,FALSE
AZ,157,415,389-9783,no,no,0,220.7,105,105,37.52,119.3,127,10.14,165.1,113,7.43,11.5,7,3.11,4,FALSE
MA,40,408,351-7005,no,yes,31,224.7,69,69,38.2,134.5,81,11.43,120.3,104,5.41,7.5,5,2.03,1,TRUE
TN,72,408,348-2009,no,no,0,147,79,79,24.99,162.3,103,13.8,162.9,80,7.33,10.5,4,2.84,1,FALSE
WY,95,415,340-4236,no,yes,39,260.8,130,130,44.34,213.4,111,18.14,195.6,97,8.8,10.1,5,2.73,1,FALSE
IA,42,415,348-1528,no,no,0,155.4,127,127,26.42,164.1,45,13.95,157.7,128,7.1,9,3,2.43,0,FALSE
IN,86,415,365-5039,no,no,0,166.2,112,112,28.25,255.3,81,21.7,228.1,97,10.26,5.4,7,1.46,1,FALSE
NJ,131,415,411-1810,no,no,0,211.8,115,115,36.01,260.5,102,22.14,144.2,96,6.49,10.8,7,2.92,0,FALSE
FL,55,510,364-7644,no,yes,45,130.5,114,114,22.19,208.4,94,17.71,141.6,114,6.37,11,5,2.97,4,TRUE
MT,74,415,335-9066,no,no,0,162.7,102,102,27.66,292,105,24.82,183.3,80,8.25,8.7,6,2.35,0,FALSE
ND,81,408,362-7581,yes,yes,37,237.1,76,76,40.31,264.2,125,22.46,271.3,120,12.21,7.9,3,2.13,1,FALSE
MI,81,408,346-1095,no,no,0,166.2,102,102,28.25,217.6,112,18.5,220.2,68,9.91,13.2,2,3.56,4,FALSE
MT,28,415,357-9136,no,no,0,121.7,48,48,20.69,125.8,112,10.69,261.6,122,11.77,8.3,2,2.24,6,TRUE
AL,111,510,390-7863,no,no,0,176.4,62,62,29.99,201,124,17.09,150.4,138,6.77,11.2,2,3.02,0,FALSE
NV,3,510,344-2416,no,yes,27,67.4,116,116,11.46,244,78,20.74,281.1,93,12.65,11.4,2,3.08,2,FALSE
MI,51,415,373-1448,no,no,0,229.7,129,129,39.05,336,104,28.56,192.8,128,8.68,9.6,1,2.59,1,TRUE
FL,68,415,360-7076,no,yes,24,176,118,118,29.92,277.9,116,23.62,174.7,71,7.86,14.7,7,3.97,1,FALSE
NY,163,408,413-2241,no,no,0,247.7,77,77,42.11,269.5,108,22.91,167.3,82,7.53,9.6,7,2.59,0,TRUE
KS,87,510,343-3961,no,no,0,115.4,90,92,19.62,262.6,68,22.32,245.7,69,11.06,13.1,5,3.54,2,FALSE
NC,58,510,375-4107,no,no,0,112.2,95,95,19.07,209.6,108,17.82,260.9,78,11.74,13.9,1,3.75,0,TRUE
MN,109,408,414-7410,no,no,0,162.6,138,138,27.64,154,109,13.09,209.7,118,9.44,11.5,4,3.11,0,FALSE
RI,111,415,351-2535,no,no,0,229.4,107,107,39,214.1,99,18.2,289.6,95,13.03,10.4,6,2.81,4,FALSE
UT,144,415,416-9615,no,no,0,139.6,96,96,23.73,124.2,93,10.56,95.6,75,4.3,15,4,4.05,2,FALSE
OR,135,415,377-1293,no,no,0,263.8,66,66,44.85,251.3,116,21.36,200.1,112,9,8.4,2,2.27,5,TRUE
SC,109,415,388-6479,no,yes,46,217.5,123,123,36.98,233.7,84,19.86,163.9,99,7.38,9,3,2.43,4,FALSE
IL,107,415,390-2755,no,yes,14,114.3,132,132,19.43,199.8,91,16.98,194.7,74,8.76,7.5,8,2.03,1,FALSE
OH,149,408,340-5930,no,no,0,196.3,108,108,33.37,136.8,96,11.63,154.7,87,6.96,7.7,3,2.08,2,FALSE
MA,56,510,401-3622,no,no,0,253.2,95,95,43.04,188,116,15.98,142,133,6.39,4.4,4,1.19,1,FALSE
OR,129,408,382-1104,no,no,0,98,99,99,16.66,240.7,62,20.46,254.8,123,11.47,10.5,4,2.84,0,FALSE
CA,92,408,355-9324,no,no,0,249.4,118,118,42.4,211.5,95,17.98,169,116,7.61,9.1,3,2.46,0,FALSE
WV,67,415,393-4843,no,yes,30,129.6,107,107,22.03,233,104,19.81,297,93,13.37,14.5,5,3.92,1,FALSE
VT,120,415,401-4052,no,no,0,221.3,106,106,37.62,267.6,98,22.75,111.5,80,5.02,9.3,7,2.51,0,FALSE
ID,166,415,385-1830,no,no,0,220.7,106,106,37.52,177.8,118,15.11,206.1,102,9.27,12.4,9,3.35,1,FALSE
OR,66,408,348-7409,no,no,0,87.6,76,76,14.89,262,111,22.27,184.6,125,8.31,9.2,5,2.48,1,FALSE
GA,76,408,361-4910,no,no,0,203.6,61,61,34.61,161.7,127,13.74,175.9,97,7.92,8.4,3,2.27,0,FALSE
ME,79,415,415-6578,no,no,0,213.6,110,110,36.31,234.9,121,19.97,229.6,157,10.33,8.8,3,2.38,2,FALSE
HI,98,415,395-5015,no,yes,31,181.6,112,112,30.87,220.7,100,18.76,236.3,121,10.63,12.9,4,3.48,2,FALSE
AZ,141,510,369-6012,no,yes,22,215.4,123,123,36.62,328.7,98,27.94,160.5,89,7.22,7.8,6,2.11,1,FALSE
UT,49,415,394-4520,no,no,0,266.3,90,90,45.27,207.8,117,17.66,205,98,9.23,14,2,3.78,2,TRUE
IA,46,510,380-5873,no,no,0,199.2,111,111,33.86,175.1,83,14.88,210.6,84,9.48,10.2,2,2.75,3,FALSE
CT,137,415,372-5384,no,no,0,115,130,130,19.55,137.8,83,11.71,224,61,10.08,7.3,4,1.97,3,FALSE
WA,171,408,419-1863,no,no,0,270.5,69,70,45.99,230,112,19.55,136,111,6.12,9.6,5,2.59,1,TRUE
VA,10,415,352-5697,no,no,0,222.2,127,127,37.77,153.1,125,13.01,227.4,80,10.23,12.9,4,3.48,1,FALSE
CO,88,510,373-4274,no,no,0,61.9,78,78,10.52,262.6,114,22.32,212.5,110,9.56,8.8,2,2.38,3,FALSE
LA,89,415,382-4024,no,no,0,141.1,92,92,23.99,249.1,126,21.17,136,73,6.12,10.8,2,2.92,2,FALSE
TX,82,415,395-9215,no,no,0,189.2,81,81,32.16,184.4,117,15.67,255.8,83,11.51,10.6,5,2.86,3,TRUE
SD,139,510,331-9149,no,no,0,196,135,135,33.32,186,146,15.81,153,92,6.89,9.8,1,2.65,3,FALSE
VA,87,415,347-3958,no,no,0,171.6,119,119,29.17,205,107,17.43,170.6,114,7.68,13.8,4,3.73,0,FALSE
NY,137,415,389-2540,yes,no,0,174,123,123,29.58,161.3,115,13.71,260.7,98,11.73,11.4,3,3.08,2,FALSE
WA,45,510,399-3083,no,no,0,78.6,106,106,13.36,187.3,110,15.92,184.2,111,8.29,7.4,5,2,1,TRUE
WI,90,415,420-8308,no,no,0,200.9,92,92,34.15,164.3,91,13.97,249,98,11.21,8.9,7,2.4,1,FALSE
TN,103,415,384-7724,no,no,0,141.3,123,123,24.02,253.6,87,21.56,215.8,96,9.71,6.4,2,1.73,1,FALSE
CT,100,415,389-2114,no,no,0,235.8,130,130,40.09,176,69,14.96,63.6,122,2.86,7.3,1,1.97,2,FALSE
WA,110,510,335-4414,no,no,0,185.1,100,100,31.47,165.1,88,14.03,111.6,104,5.02,6.3,4,1.7,3,FALSE
NH,124,415,370-5361,no,no,0,254.3,113,113,43.23,78.9,104,6.71,153.2,69,6.89,11.8,2,3.19,2,FALSE
MT,10,510,374-5965,no,no,0,183,103,103,31.11,214.8,77,18.26,206.4,73,9.29,8.7,6,2.35,2,FALSE
NE,89,415,420-6414,no,yes,29,163.5,80,80,27.8,274.8,136,23.36,381.9,147,17.19,7.5,5,2.03,2,FALSE
